ts,run_id,rpm,rpm_setpoint,torque_ftlbs,hp,pressure_psi,valve_cmd_pct,cht_c,control_mode,sim_status,limiter_active
2026-05-23T06:32:46.666+00:00,38,2508,4000,11.1,5.301,0,0.0,25,2,1,0
2026-05-23T06:32:46.766+00:00,38,2882,4000,11.1,6.091,0,0.0,25,2,1,0
2026-05-23T06:32:46.866+00:00,38,3090,4000,10.8,6.354,0,0.0,25,2,1,0
2026-05-23T06:32:46.965+00:00,38,3452,4000,10.2,6.704,0,0.0,25,2,1,0
2026-05-23T06:32:47.065+00:00,38,3590,4000,9.8,6.699,0,0.0,25,2,1,0
2026-05-23T06:32:47.166+00:00,38,3937,4000,9.8,7.346,0,0.0,25,2,1,0
2026-05-23T06:32:47.266+00:00,38,4008,4000,9.6,7.326,0,0.0,25,2,1,0
2026-05-23T06:32:47.365+00:00,38,4390,4000,9.3,7.774,0,0.0,25,2,1,0
2026-05-23T06:32:47.465+00:00,38,4536,4000,9.1,7.859,3,8.19,25,2,1,0
2026-05-23T06:32:47.565+00:00,38,4752,4000,9.3,8.415,14,8.19,25,2,1,0
2026-05-23T06:32:47.666+00:00,38,4982,4000,9.4,8.917,49,17.35,25,2,1,0
2026-05-23T06:32:47.766+00:00,38,5205,4000,9.4,9.316,102,17.35,25,2,1,0
2026-05-23T06:32:47.866+00:00,38,5431,4000,9.4,9.72,220,29.87,25,2,1,0
2026-05-23T06:32:47.966+00:00,38,5630,4000,9.2,9.862,364,29.87,25,2,1,0
2026-05-23T06:32:48.066+00:00,38,5749,4000,8.7,9.523,602,43.79,26,2,1,0
2026-05-23T06:32:48.165+00:00,38,5792,4000,8.6,9.484,893,43.79,26,2,1,0
2026-05-23T06:32:48.266+00:00,38,5725,4000,8.7,9.484,1155,53.57,26,2,1,0
2026-05-23T06:32:48.366+00:00,38,5641,4000,9.1,9.774,1399,53.57,27,2,1,0
2026-05-23T06:32:48.465+00:00,38,5494,4000,9.4,9.833,1525,57.57,28,2,1,0
2026-05-23T06:32:48.567+00:00,38,5415,4000,9.4,9.692,1590,57.57,29,2,1,0
2026-05-23T06:32:48.665+00:00,38,5201,4000,9.4,9.309,1594,59.39,29,2,1,0
2026-05-23T06:32:48.766+00:00,38,4971,4000,9.4,8.897,1566,59.39,30,2,1,0
2026-05-23T06:32:48.866+00:00,38,4924,4000,9.4,8.813,1456,55.66,31,2,1,0
2026-05-23T06:32:48.965+00:00,38,4840,4000,9.3,8.57,1340,55.66,31,2,1,0
2026-05-23T06:32:49.066+00:00,38,4623,4000,9.2,8.098,1282,57.37,32,2,1,0
2026-05-23T06:32:49.166+00:00,38,4623,4000,9.2,8.098,1263,57.37,32,2,1,0
2026-05-23T06:32:49.265+00:00,38,4630,4000,9.1,8.022,1211,55.37,33,2,1,0
2026-05-23T06:32:49.366+00:00,38,4485,4000,9.1,7.771,1146,55.37,33,2,1,0
2026-05-23T06:32:49.466+00:00,38,4442,4000,9.2,7.781,1130,57.43,34,2,1,0
2026-05-23T06:32:49.566+00:00,38,4317,4000,9.2,7.562,1136,57.43,34,2,1,0
2026-05-23T06:32:49.665+00:00,38,4458,4000,9.3,7.894,1127,57.52,35,2,1,0
2026-05-23T06:32:49.766+00:00,38,4293,4000,9.3,7.602,1112,57.52,35,2,1,0
2026-05-23T06:32:49.866+00:00,38,4226,4000,9.4,7.564,1081,55.53,35,2,1,0
2026-05-23T06:32:49.966+00:00,38,4202,4000,9.4,7.521,1040,55.53,36,2,1,0
2026-05-23T06:32:50.065+00:00,38,4241,4000,9.4,7.591,1015,55.17,36,2,1,0
